timestamp,sensor_id,temperature_c,cell_position_row,cell_position_col
2026-03-18 09:00:00,T01,25.0,1,1
2026-03-18 09:00:10,T01,25.4,1,1
2026-03-18 09:00:20,T01,25.7,1,1
2026-03-18 09:00:30,T01,25.8,1,1
2026-03-18 09:00:40,T01,26.2,1,1
2026-03-18 09:00:50,T01,26.6,1,1
2026-03-18 09:01:00,T01,26.8,1,1
2026-03-18 09:01:10,T01,27.1,1,1
2026-03-18 09:01:20,T01,27.3,1,1
2026-03-18 09:01:30,T01,27.7,1,1
2026-03-18 09:01:40,T01,27.9,1,1
2026-03-18 09:01:50,T01,28.1,1,1
2026-03-18 09:02:00,T01,28.4,1,1
2026-03-18 09:02:10,T01,28.6,1,1
2026-03-18 09:02:20,T01,28.7,1,1
2026-03-18 09:02:30,T01,29.0,1,1
2026-03-18 09:02:40,T01,29.1,1,1
2026-03-18 09:02:50,T01,29.4,1,1
2026-03-18 09:03:00,T01,29.6,1,1
2026-03-18 09:03:10,T01,29.7,1,1
2026-03-18 09:03:20,T01,29.9,1,1
2026-03-18 09:03:30,T01,30.2,1,1
2026-03-18 09:03:40,T01,30.3,1,1
2026-03-18 09:03:50,T01,30.4,1,1
2026-03-18 09:04:00,T01,30.6,1,1
2026-03-18 09:04:10,T01,30.8,1,1
2026-03-18 09:04:20,T01,31.0,1,1
2026-03-18 09:04:30,T01,31.1,1,1
2026-03-18 09:04:40,T01,31.3,1,1
2026-03-18 09:04:50,T01,31.5,1,1
2026-03-18 09:05:00,T01,31.5,1,1
2026-03-18 09:05:10,T01,31.6,1,1
2026-03-18 09:05:20,T01,31.7,1,1
2026-03-18 09:05:30,T01,31.9,1,1
2026-03-18 09:05:40,T01,32.1,1,1
2026-03-18 09:05:50,T01,32.1,1,1
2026-03-18 09:06:00,T01,32.2,1,1
2026-03-18 09:06:10,T01,32.3,1,1
2026-03-18 09:06:20,T01,32.5,1,1
2026-03-18 09:06:30,T01,32.6,1,1
2026-03-18 09:06:40,T01,32.7,1,1
2026-03-18 09:06:50,T01,32.7,1,1
2026-03-18 09:07:00,T01,32.9,1,1
2026-03-18 09:07:10,T01,32.9,1,1
2026-03-18 09:07:20,T01,33.0,1,1
2026-03-18 09:07:30,T01,33.2,1,1
2026-03-18 09:07:40,T01,33.2,1,1
2026-03-18 09:07:50,T01,33.3,1,1
2026-03-18 09:08:00,T01,33.4,1,1
2026-03-18 09:08:10,T01,33.5,1,1
2026-03-18 09:08:20,T01,33.6,1,1
2026-03-18 09:08:30,T01,33.5,1,1
2026-03-18 09:08:40,T01,33.6,1,1
2026-03-18 09:08:50,T01,33.7,1,1
2026-03-18 09:09:00,T01,33.7,1,1
2026-03-18 09:09:10,T01,33.8,1,1
2026-03-18 09:09:20,T01,34.0,1,1
2026-03-18 09:09:30,T01,33.9,1,1
2026-03-18 09:09:40,T01,34.1,1,1
2026-03-18 09:09:50,T01,34.0,1,1
2026-03-18 09:10:00,T01,34.1,1,1
2026-03-18 09:10:10,T01,34.2,1,1
2026-03-18 09:10:20,T01,34.3,1,1
2026-03-18 09:10:30,T01,34.4,1,1
2026-03-18 09:10:40,T01,34.4,1,1
2026-03-18 09:10:50,T01,34.4,1,1
2026-03-18 09:11:00,T01,34.4,1,1
2026-03-18 09:11:10,T01,34.6,1,1
2026-03-18 09:11:20,T01,34.5,1,1
2026-03-18 09:11:30,T01,34.5,1,1
2026-03-18 09:11:40,T01,34.6,1,1
2026-03-18 09:11:50,T01,34.6,1,1
2026-03-18 09:12:00,T01,34.8,1,1
2026-03-18 09:12:10,T01,34.8,1,1
2026-03-18 09:12:20,T01,34.9,1,1
2026-03-18 09:12:30,T01,34.8,1,1
2026-03-18 09:12:40,T01,34.9,1,1
